# m1 m2 DL Tc iota phic psi thetaS phiS logL logPrior
2.501705523330567609e+36 8.322246806940500645e+35 3.120014482955330961e+26 3.486453000662285089e+07 5.160646534045345568e-01 2.883616582499746173e+00 2.593923283573589700e+00 1.303322365256962545e+00 1.813140710502527675e+00 -2.444291740512321109e-38 0.000000000000000000e+00
3.232784471892417796e+36 9.666470346275490938e+35 2.815162421613324807e+26 2.899072380654432625e+07 2.937568624222513858e+00 2.860599914154180912e+00 1.474755414736292902e+00 1.678264299248140690e+00 4.228494049501605900e+00 -2.443372493026149872e-38 0.000000000000000000e+00
3.581679282801781905e+36 9.485617130652666156e+35 3.342633884231854235e+26 3.674896187066560239e+07 2.895839356065739612e+00 1.086874795744108280e+00 2.370017618502775480e+00 2.558363413329535430e+00 2.438869474539242965e+00 -2.401792507791131991e-38 0.000000000000000000e+00
2.780492605919049082e+36 9.622909070399226408e+35 3.421611721625207612e+26 3.320434854620001465e+07 3.790902498523400221e-01 3.733618529060316771e+00 2.737255336273484829e+00 1.242817231917656695e+00 2.782723854379175243e+00 -2.347420472375391296e-38 0.000000000000000000e+00
3.614700656001400967e+36 4.689530327650349913e+35 3.253305653282029891e+26 3.127012753704488650e+07 2.867226001674538338e+00 5.773088619083016404e+00 1.954318076046311026e+00 1.271584874860527847e+00 1.528289783150484027e+00 -2.306159254253162783e-38 0.000000000000000000e+00
3.126540879154598687e+36 6.368146519812629769e+35 3.223854392274163349e+26 3.640406909122610837e+07 1.605101687495453788e-01 5.838182449765940696e+00 7.851504173587297020e-01 2.041642488174485237e+00 1.461556918357081125e+00 -2.303304958641764595e-38 0.000000000000000000e+00
2.539207401156687471e+36 6.635141882713549476e+35 2.916278729992317674e+26 3.409482956933786720e+07 6.840082374261270692e-02 2.012953617875189671e+00 2.428901425235774791e+00 1.599866345548884405e+00 2.786583426375247807e+00 -2.302835844382640683e-38 0.000000000000000000e+00
2.982225154465252616e+36 8.928675560622845557e+35 2.975359841746278751e+26 3.656631733087968826e+07 3.018043832253854752e+00 4.770551477047847655e+00 2.886840040594143009e+00 1.085344573631474852e+00 4.276243355585767070e+00 -2.245712205638968987e-38 0.000000000000000000e+00
3.592990796247413529e+36 9.447468154925103692e+35 3.327646316931897051e+26 2.917522411251958460e+07 2.250841105061564207e+00 4.656961067865165171e-01 2.602480590329462995e+00 1.485153991482705882e+00 4.799532792532399839e+00 -2.236817334713321509e-38 0.000000000000000000e+00
3.404757822706526233e+36 6.857722247920481607e+35 2.812277172009495370e+26 2.856245121651514992e+07 7.109682974933632105e-01 5.195227858979085234e+00 6.327753341226124428e-01 2.181372645845732539e+00 1.320487791186605087e+00 -2.220703588508463199e-38 0.000000000000000000e+00
